time,value
2024-03-16T22:13:51.292930655Z,90
2024-03-16T22:13:51.834912789Z,99
2024-03-16T22:13:52.354992473Z,106
2024-03-16T22:13:52.907325219Z,114
2024-03-16T22:13:53.41103009Z,141
2024-03-16T22:13:53.927625099Z,174
2024-03-16T22:13:54.460908743Z,187
2024-03-16T22:13:54.977844462Z,189
2024-03-16T22:13:55.492982314Z,183
2024-03-16T22:13:56.031024126Z,175
2024-03-16T22:13:56.537073611Z,176
2024-03-16T22:13:57.05449259Z,173
2024-03-16T22:13:57.712929012Z,162
2024-03-16T22:13:58.225051548Z,158
2024-03-16T22:13:58.735309652Z,151
2024-03-16T22:13:59.247207934Z,160
2024-03-16T22:13:59.760885742Z,168
2024-03-16T22:14:00.274857071Z,160
2024-03-16T22:14:00.778383903Z,161
2024-03-16T22:14:01.27934717Z,148
2024-03-16T22:14:01.78914044Z,154
2024-03-16T22:14:02.303120365Z,167
2024-03-16T22:14:02.820857144Z,168
2024-03-16T22:14:03.328900103Z,156
2024-03-16T22:14:03.847066597Z,148
2024-03-16T22:14:04.36894732Z,152
2024-03-16T22:14:04.894993133Z,167
2024-03-16T22:14:05.54915147Z,152
2024-03-16T22:14:06.300816515Z,135
2024-03-16T22:14:07.07096868Z,121
2024-03-16T22:14:07.965293727Z,108
2024-03-16T22:14:09.420896758Z,103
2024-03-16T22:14:10.233107792Z,95
2024-03-16T22:14:11.180999473Z,87
2024-03-16T22:14:12.010408595Z,81
2024-03-16T22:14:12.784716235Z,76
2024-03-16T22:14:13.690988971Z,74
2024-03-16T22:14:14.589725083Z,72
2024-03-16T22:14:15.941094533Z,75
2024-03-16T22:14:16.459053018Z,78
2024-03-16T22:14:16.965676406Z,82
2024-03-16T22:14:17.4872225Z,88
2024-03-16T22:14:17.99312037Z,103
2024-03-16T22:14:18.508720266Z,108
2024-03-16T22:14:19.017902723Z,121
2024-03-16T22:14:19.530861104Z,133
2024-03-16T22:14:20.033005696Z,131
2024-03-16T22:14:20.969245436Z,120
2024-03-16T22:14:21.932956817Z,108
2024-03-16T22:14:22.704974132Z,100
2024-03-16T22:14:23.525198229Z,92
2024-03-16T22:14:24.364843719Z,87
2024-03-16T22:14:25.205218643Z,81
2024-03-16T22:14:25.975301723Z,78
2024-03-16T22:14:26.669162733Z,74
2024-03-16T22:14:27.407480692Z,72
2024-03-16T22:14:28.399180989Z,71
2024-03-16T22:14:29.328940101Z,72
2024-03-16T22:14:30.140887688Z,73
2024-03-16T22:14:32.48316654Z,74
2024-03-16T22:14:33.938966487Z,75
2024-03-16T22:14:34.752922913Z,74
2024-03-16T22:14:35.709968776Z,72
2024-03-16T22:14:36.510917237Z,73
2024-03-16T22:14:37.200774135Z,76
2024-03-16T22:14:37.889154321Z,77
2024-03-16T22:14:38.597127463Z,78
2024-03-16T22:14:39.927010197Z,80
2024-03-16T22:14:40.430990687Z,84
2024-03-16T22:14:40.943216577Z,89
2024-03-16T22:14:41.4611803Z,105
2024-03-16T22:14:41.973307577Z,115
2024-03-16T22:14:42.482839329Z,137
2024-03-16T22:14:43.037031966Z,135
2024-03-16T22:14:43.699165674Z,136
2024-03-16T22:14:44.42576424Z,133
2024-03-16T22:14:45.145143682Z,125
2024-03-16T22:14:45.926876195Z,114
2024-03-16T22:14:46.680919169Z,106
2024-03-16T22:14:47.346935462Z,101
2024-03-16T22:14:48.054992362Z,95
2024-03-16T22:14:48.711063199Z,90
2024-03-16T22:14:49.331538114Z,85
2024-03-16T22:14:49.984737059Z,86
2024-03-16T22:14:50.563570891Z,87
2024-03-16T22:14:51.231167642Z,88
2024-03-16T22:14:51.810994696Z,90
2024-03-16T22:14:52.435081042Z,92
2024-03-16T22:14:54.525047671Z,93
2024-03-16T22:14:55.211284915Z,92
2024-03-16T22:14:56.021584593Z,90
2024-03-16T22:14:56.797980175Z,87
2024-03-16T22:14:57.538862408Z,86
2024-03-16T22:14:58.270965953Z,85
2024-03-16T22:14:59.048898419Z,83
2024-03-16T22:14:59.826975185Z,81
2024-03-16T22:15:01.115307412Z,82
2024-03-16T22:15:01.625100488Z,85
2024-03-16T22:15:02.14279932Z,90
2024-03-16T22:15:02.654993458Z,96
2024-03-16T22:15:03.169288503Z,108
2024-03-16T22:15:03.674970412Z,129
2024-03-16T22:15:04.186997137Z,145
2024-03-16T22:15:04.71101853Z,177
2024-03-16T22:15:05.221345503Z,175
2024-03-16T22:15:05.744305991Z,176
2024-03-16T22:15:06.249060478Z,174
2024-03-16T22:15:06.756954667Z,175
2024-03-16T22:15:07.26980279Z,179
2024-03-16T22:15:07.770652518Z,180
2024-03-16T22:15:08.284995876Z,158
2024-03-16T22:15:09.197274754Z,143
2024-03-16T22:15:10.078936497Z,125
2024-03-16T22:15:10.846740139Z,120
2024-03-16T22:15:11.584989038Z,111
2024-03-16T22:15:12.320995754Z,103
2024-03-16T22:15:13.17334716Z,94
2024-03-16T22:15:13.918206812Z,87
2024-03-16T22:15:14.742931696Z,81
2024-03-16T22:15:15.634910908Z,74
2024-03-16T22:15:16.530930779Z,72
2024-03-16T22:15:17.311048823Z,74
2024-03-16T22:15:18.035037256Z,75
2024-03-16T22:15:19.715226442Z,73
2024-03-16T22:15:21.21306038Z,74
2024-03-16T22:15:23.557753478Z,76
2024-03-16T22:15:24.285207656Z,77
2024-03-16T22:15:25.286865627Z,75
2024-03-16T22:15:26.221565974Z,73
2024-03-16T22:15:27.782817574Z,74
2024-03-16T22:15:31.74420524Z,73
2024-03-16T22:15:32.583399366Z,72
2024-03-16T22:15:33.312966522Z,75
2024-03-16T22:15:34.043255232Z,76
2024-03-16T22:15:36.401371274Z,77
2024-03-16T22:15:38.799440215Z,75
2024-03-16T22:15:39.607401503Z,76
2024-03-16T22:15:40.298972867Z,78
2024-03-16T22:15:41.042801637Z,77
