date,time,value
2024-03-16,21:33:30,72.0
2024-03-16,21:33:31,71.0
2024-03-16,21:33:32,69.0
2024-03-16,21:33:33,72.0
2024-03-16,21:33:36,73.0
2024-03-16,21:33:38,72.0
2024-03-16,21:33:39,73.0
2024-03-16,21:33:40,75.0
2024-03-16,21:33:41,76.0
2024-03-16,21:33:42,77.0
2024-03-16,21:33:43,78.0
2024-03-16,21:33:44,79.0
2024-03-16,21:33:45,80.0
2024-03-16,21:33:46,82.0
2024-03-16,21:33:46,83.0
2024-03-16,21:33:47,87.0
2024-03-16,21:33:47,91.0
2024-03-16,21:33:48,98.0
2024-03-16,21:33:48,103.0
2024-03-16,21:33:49,100.0
2024-03-16,21:33:52,99.0
2024-03-16,21:33:52,97.0
2024-03-16,21:33:53,93.0
2024-03-16,21:33:54,89.0
2024-03-16,21:33:55,83.0
2024-03-16,21:33:56,77.0
2024-03-16,21:33:57,76.0
2024-03-16,21:33:58,75.0
2024-03-16,21:34:00,76.0
2024-03-16,21:34:02,75.0
2024-03-16,21:34:03,78.0
2024-03-16,21:34:04,79.0
2024-03-16,21:34:05,80.0
2024-03-16,21:34:06,77.0
2024-03-16,21:34:07,76.0
2024-03-16,21:34:08,75.0
2024-03-16,21:34:08,73.0
2024-03-16,21:34:09,72.0
2024-03-16,21:34:10,71.0
2024-03-16,21:34:11,72.0
2024-03-16,21:34:14,75.0
2024-03-16,21:34:15,76.0
2024-03-16,21:34:16,75.0
2024-03-16,21:34:17,74.0
2024-03-16,21:34:17,73.0
2024-03-16,21:34:20,72.0
2024-03-16,21:34:21,73.0
2024-03-16,21:34:23,74.0
2024-03-16,21:34:25,75.0
2024-03-16,21:34:25,76.0
2024-03-16,21:34:26,77.0
2024-03-16,21:34:27,75.0
2024-03-16,21:34:29,74.0
2024-03-16,21:34:30,73.0
2024-03-16,21:34:31,72.0
2024-03-16,21:34:32,74.0
2024-03-16,21:34:33,75.0
2024-03-16,21:34:33,73.0
2024-03-16,21:34:34,72.0
2024-03-16,21:34:35,73.0
2024-03-16,21:34:38,74.0
2024-03-16,21:34:39,75.0
2024-03-16,21:34:40,73.0
2024-03-16,21:34:41,72.0
2024-03-16,21:34:42,73.0
2024-03-16,21:34:42,74.0
2024-03-16,21:34:43,75.0
2024-03-16,21:34:44,74.0
2024-03-16,21:34:45,75.0
2024-03-16,21:34:46,73.0
2024-03-16,21:34:48,74.0
2024-03-16,21:34:49,77.0
2024-03-16,21:34:49,78.0
2024-03-16,21:34:50,77.0
2024-03-16,21:34:52,78.0
2024-03-16,21:34:54,80.0
2024-03-16,21:34:55,81.0
2024-03-16,21:34:55,80.0
2024-03-16,21:34:56,79.0
2024-03-16,21:34:57,78.0
2024-03-16,21:34:58,79.0
2024-03-16,21:34:59,78.0
2024-03-16,21:35:01,79.0
2024-03-16,21:35:02,78.0
2024-03-16,21:35:04,79.0
2024-03-16,21:35:04,80.0
2024-03-16,21:35:05,81.0
2024-03-16,21:35:06,79.0
2024-03-16,21:35:08,77.0
2024-03-16,21:35:09,76.0
2024-03-16,21:35:13,75.0
2024-03-16,21:35:14,76.0
2024-03-16,21:35:15,77.0
2024-03-16,21:35:15,75.0
2024-03-16,21:35:17,76.0
2024-03-16,21:35:18,77.0
2024-03-16,21:35:19,76.0
2024-03-16,21:35:20,77.0
2024-03-16,21:35:21,75.0
2024-03-16,21:35:22,73.0
2024-03-16,21:35:23,72.0
2024-03-16,21:35:23,75.0
2024-03-16,21:35:24,77.0
2024-03-16,21:35:26,78.0
2024-03-16,21:35:27,75.0
2024-03-16,21:35:28,73.0
2024-03-16,21:35:30,74.0
2024-03-16,21:35:32,73.0
2024-03-16,21:35:32,72.0
2024-03-16,21:35:33,73.0
2024-03-16,21:35:34,71.0
2024-03-16,21:35:35,69.0
2024-03-16,21:35:36,72.0
2024-03-16,21:35:36,74.0
2024-03-16,21:35:37,75.0
2024-03-16,21:35:38,76.0
2024-03-16,21:35:40,74.0
2024-03-16,21:35:41,72.0
2024-03-16,21:35:45,73.0
2024-03-16,21:35:48,72.0
2024-03-16,21:35:49,73.0
2024-03-16,21:35:49,75.0
2024-03-16,21:35:50,76.0
2024-03-16,21:35:51,77.0
2024-03-16,21:35:52,78.0
2024-03-16,21:35:52,77.0
2024-03-16,21:35:54,76.0
2024-03-16,21:35:55,75.0
2024-03-16,21:35:56,76.0
2024-03-16,21:35:56,77.0
2024-03-16,21:35:57,78.0
2024-03-16,21:35:59,77.0
2024-03-16,21:36:02,76.0
2024-03-16,21:36:03,78.0
2024-03-16,21:36:03,80.0
2024-03-16,21:36:05,79.0
2024-03-16,21:36:05,78.0
2024-03-16,21:36:06,79.0
2024-03-16,21:36:08,80.0
2024-03-16,21:36:09,81.0
2024-03-16,21:36:12,78.0
2024-03-16,21:36:12,77.0
2024-03-16,21:36:13,78.0
2024-03-16,21:36:14,80.0
2024-03-16,21:36:14,81.0
2024-03-16,21:36:15,83.0
2024-03-16,21:36:16,84.0
2024-03-16,21:36:16,85.0
2024-03-16,21:36:17,86.0
2024-03-16,21:36:18,84.0
2024-03-16,21:36:19,85.0
2024-03-16,21:36:19,86.0
2024-03-16,21:36:20,87.0
2024-03-16,21:36:21,85.0
2024-03-16,21:36:22,82.0
2024-03-16,21:36:22,81.0
2024-03-16,21:36:23,79.0
2024-03-16,21:36:24,76.0
2024-03-16,21:36:25,73.0
2024-03-16,21:36:27,74.0
2024-03-16,21:36:28,73.0
2024-03-16,21:36:28,72.0
2024-03-16,21:36:30,73.0
2024-03-16,21:36:31,70.0
2024-03-16,21:36:32,69.0
2024-03-16,21:36:33,71.0
2024-03-16,21:36:35,70.0
2024-03-16,21:36:37,69.0
2024-03-16,21:36:38,68.0
2024-03-16,21:36:39,67.0
2024-03-16,21:36:40,69.0
2024-03-16,21:36:40,70.0
2024-03-16,21:36:44,72.0
2024-03-16,21:36:46,73.0
2024-03-16,21:36:47,75.0
2024-03-16,21:36:48,73.0
2024-03-16,21:36:49,72.0
2024-03-16,21:36:50,73.0
2024-03-16,21:36:52,71.0
2024-03-16,21:36:53,73.0
2024-03-16,21:36:56,76.0
2024-03-16,21:36:56,78.0
2024-03-16,21:36:57,80.0
2024-03-16,21:36:58,81.0
2024-03-16,21:36:58,82.0
2024-03-16,21:36:59,85.0
2024-03-16,21:37:01,83.0
2024-03-16,21:37:01,82.0
2024-03-16,21:37:04,81.0
2024-03-16,21:37:05,80.0
2024-03-16,21:37:07,79.0
2024-03-16,21:37:08,81.0
2024-03-16,21:37:09,82.0
2024-03-16,21:37:09,84.0
2024-03-16,21:37:10,83.0
2024-03-16,21:37:11,81.0
2024-03-16,21:37:12,80.0
2024-03-16,21:37:13,79.0
2024-03-16,21:37:14,76.0
2024-03-16,21:37:15,75.0
2024-03-16,21:37:17,74.0
2024-03-16,21:37:19,76.0
